Rank,Country (or dependent territory),Population,Fraction of world population,Date,Source
169,Belize,408487,0.0000525,2019-07-01,National estimate
170,Bahamas,385340,0.0000495,2019-07-01,National annual projection
171,Maldives,374775,0.0000482,2018-12-31,National annual estimate
172,Iceland,364260,0.0000468,2019-12-31,National quarterly estimate
?,Northern Cyprus,351965,0.0000452,2017-12-31,National estimate
173,Vanuatu,304500,0.0000391,2018-07-01,National annual estimate
174,Barbados,287025,0.0000369,2019-07-01,UN projection
-,New Caledonia?(France),282200,0.0000363,2018-01-01,National annual estimate
-,French Polynesia?(France),275918,0.0000355,2017-08-17,2017 census results
-,Abkhazia,244832,0.0000315,2018-01-01,National estimate
175,S? Tom?and Pr?cipe,201784,0.0000259,2018-07-01,National estimate
176,Samoa,200874,0.0000258,2019-07-01,National projection
177,Saint Lucia,178696,0.000023,2018-07-01,National annual estimate
-,Guam?(US),172400,0.0000222,2018-07-01,National annual estimate
-,Cura?o?(Netherlands),158665,0.0000204,2019-01-01,National annual estimate
-,Artsakh,148000,0.000019,2019-01-01,National annual estimate
178,Kiribati,120100,0.0000154,2018-07-01,National annual estimate
-,Aruba?(Netherlands),112309,0.0000144,2019-03-31,National quarterly estimate
179,Grenada,112003,0.0000144,2019-07-01,UN projection
180,Saint Vincent and the Grenadines,110608,0.0000142,2019-07-01,National estimate
-,Jersey?(UK),106800,0.0000137,2018-12-31,National estimate
-,U.S. Virgin Islands?(US),104578,0.0000134,2019-07-01,UN projection
181,F.S. Micronesia,104468,0.0000134,2019-07-01,National annual projection
182,Tonga,100651,0.0000129,2016-11-30,2016 census result
183,Seychelles,97625,0.0000125,2019-06-30,National estimate
184,Antigua and Barbuda,96453,0.0000124,2019-07-01,National annual projection
-,Isle of Man?(UK),83314,0.0000107,2016-04-24,2016 census result
185,Andorra,77543,0.00000997,2019-12-31,National estimate
186,Dominica,71808,0.00000923,2019-07-01,UN projection
-,Cayman Islands?(UK),65813,0.00000846,2018-12-31,National estimate
-,Bermuda?(UK),64027,0.00000823,2019-07-01,National annual projection
-,Guernsey?(UK),62792,0.00000807,2019-03-31,National estimate
-,American Samoa?(US),56700,0.00000729,2018-07-01,National annual estimate
-,Greenland?(Denmark),56081,0.00000721,2020-01-01,National estimate
-,Northern Mariana Islands?(US),56200,0.00000722,2018-07-01,National annual estimate
187,Marshall Islands,55500,0.00000713,2018-07-01,National annual estimate
-,South Ossetia,53532,0.00000688,2015-10-15,Preliminary 2015 census result
188,Saint Kitts and Nevis,52823,0.00000679,2019-07-01,UN projection
-,Faroe Islands?(Denmark),52124,0.0000067,2020-01-01,Monthly national estimate
-,Turks and Caicos Islands?(UK),41369,0.00000532,2018-07-01,National estimate
-,Sint Maarten?(Netherlands),40614,0.00000522,2018-01-01,National estimate
189,Liechtenstein,38749,0.00000498,2019-12-31,National semi annual estimate
190,Monaco,38300,0.00000492,2018-12-31,National annual estimate
-,Saint Martin?(France),35746,0.00000459,2016-01-01,National estimate
-,Gibraltar?(UK),33701,0.00000433,2019-07-01,UN projection
191,San Marino,33574,0.00000432,2019-12-31,National monthly estimate
-,British Virgin Islands?(UK),30030,0.00000386,2019-07-01,UN projection
-,?and Islands?(Finland),29885,0.00000384,2020-01-31,National annual estimate
192,Palau,17900,0.0000023,2018-07-01,National annual estimate
-,Cook Islands?(NZ),15200,0.00000195,2018-07-01,National annual estimate
-,Anguilla?(UK),14869,0.00000191,2019-07-01,UN projection
-,Wallis and Futuna?(France),11700,0.0000015,2018-07-01,National annual estimate
193,Nauru,11000,0.00000141,2018-07-01,National annual estimate
194,Tuvalu,10200,0.00000131,2018-07-01,National annual estimate
-,Saint Barth?emy?(France),9793,0.00000126,2016-01-01,National estimate
-,Saint Pierre and Miquelon?(France),6008,0.000000772,2016-01-01,National estimate
-,"?Saint Helena, Ascension",5633,0.000000724,2016-02-07,2016 census result
,and Tristan da Cunha?(UK),,,,
-,Montserrat?(UK),4989,0.000000641,2019-07-01,UN projection
-,Falkland Islands?(UK),3198,0.000000411,2016-10-09,2016 census result
-,Christmas Island?(Australia),1928,0.000000248,2018-06-30,National estimate
-,Norfolk Island?(Australia),1756,0.000000226,2018-06-30,National estimate
-,Niue?(NZ),1520,0.000000195,2018-07-01,National annual estimate
-,Tokelau?(NZ),1400,0.00000018,2018-07-01,National annual estimate
195,Vatican City,825,0.000000106,2019-02-01,National estimate
-,Cocos (Keeling) Islands?(Australia),538,6.92E-08,2018-06-30,National estimate
-,Pitcairn Islands?(UK),50,6.43E-09,2019-01-01,National estimate
